time,vehicle_id,x,y,speed
10.00,0_55,299.89,4699.03,0.00
10.10,0_55,299.87,4699.02,0.25
10.20,0_55,299.83,4698.99,0.51
10.30,0_55,299.76,4698.95,0.76
10.40,0_55,299.68,4698.90,1.02
10.50,0_55,299.57,4698.83,1.26
10.60,0_55,299.44,4698.75,1.47
10.70,0_55,299.30,4698.66,1.70
10.80,0_55,299.13,4698.56,1.96
10.90,0_55,298.95,4698.44,2.18
11.00,0_55,298.74,4698.32,2.42
11.10,0_55,298.53,4698.18,2.55
11.20,0_55,298.30,4698.04,2.68
11.30,0_55,298.05,4697.89,2.89
11.40,0_55,297.80,4697.72,3.05
11.50,0_55,297.52,4697.55,3.21
11.60,0_55,297.23,4697.37,3.43
11.70,0_55,296.93,4697.18,3.60
11.80,0_55,296.60,4696.98,3.81
11.90,0_55,296.26,4696.77,4.03
12.00,0_55,295.90,4696.54,4.24
12.10,0_55,295.52,4696.31,4.45
12.20,0_55,295.13,4696.06,4.69
12.30,0_55,294.71,4695.80,4.91
12.40,0_55,294.28,4695.53,5.09
12.50,0_55,293.83,4695.25,5.33
12.60,0_55,293.36,4694.96,5.46
12.70,0_55,292.89,4694.66,5.60
12.80,0_55,292.39,4694.35,5.85
12.90,0_55,291.88,4694.04,5.99
13.00,0_55,291.36,4693.71,6.21
13.10,0_55,290.81,4693.37,6.40
13.20,0_55,290.25,4693.02,6.63
13.30,0_55,289.67,4692.66,6.85
13.40,0_55,289.07,4692.28,7.04
13.50,0_55,288.67,4691.72,7.18
13.60,0_55,288.34,4691.05,7.44
13.70,0_55,288.01,4690.37,7.61
13.80,0_55,287.66,4689.66,7.83
13.90,0_55,287.31,4688.94,8.04
14.00,0_55,286.95,4688.20,8.22
14.10,0_55,286.58,4687.45,8.41
14.20,0_55,286.20,4686.68,8.57
14.30,0_55,285.82,4685.89,8.76
14.40,0_55,285.43,4685.08,8.97
14.50,0_55,285.03,4684.26,9.11
14.60,0_55,284.61,4683.42,9.36
14.70,0_55,284.20,4682.57,9.54
14.80,0_55,283.77,4681.69,9.78
14.90,0_55,283.33,4680.79,9.95
15.00,0_55,282.88,4679.88,10.21
15.10,0_55,282.42,4678.94,10.47
15.20,0_55,281.95,4677.98,10.62
15.30,0_55,281.87,4676.91,10.84
15.40,0_55,281.85,4675.81,11.06
15.50,0_55,281.83,4674.68,11.32
15.60,0_55,281.81,4673.53,11.46
15.70,0_55,281.79,4672.36,11.70
15.80,0_55,281.77,4671.17,11.89
15.90,0_55,281.75,4669.97,12.03
16.00,0_55,281.72,4668.75,12.20
16.10,0_55,281.70,4667.51,12.34
16.20,0_55,281.68,4666.25,12.59
16.30,0_55,281.65,4664.98,12.76
16.40,0_55,281.63,4663.69,12.92
16.50,0_55,281.61,4662.38,13.08
16.60,0_55,281.58,4661.07,13.15
16.70,0_55,281.56,4659.75,13.11
16.80,0_55,281.53,4658.44,13.17
16.90,0_55,281.51,4657.13,13.05
17.00,0_55,281.49,4655.82,13.13
17.10,0_55,281.46,4654.51,13.12
17.20,0_55,281.44,4653.20,13.08
17.30,0_55,281.41,4651.89,13.08
17.40,0_55,281.39,4650.58,13.14
17.50,0_55,281.37,4649.27,13.09
17.60,0_55,281.34,4647.96,13.15
17.70,0_55,281.32,4646.65,13.09
17.80,0_55,281.29,4645.34,13.06
17.90,0_55,281.27,4644.03,13.14
18.00,0_55,281.25,4642.72,13.08
18.10,0_55,281.22,4641.41,13.08
18.20,0_55,281.20,4640.11,13.05
18.30,0_55,281.17,4638.80,13.06
18.40,0_55,281.15,4637.50,13.04
18.50,0_55,281.13,4636.19,13.07
18.60,0_55,281.10,4634.89,13.05
18.70,0_55,281.08,4633.57,13.12
18.80,0_55,281.06,4632.26,13.15
18.90,0_55,281.03,4630.95,13.05
19.00,0_55,281.01,4629.64,13.15
19.10,0_55,280.98,4628.33,13.07
19.20,0_55,280.96,4627.03,13.06
19.30,0_55,280.94,4625.72,13.08
19.40,0_55,280.91,4624.41,13.11
19.50,0_55,280.89,4623.09,13.16
19.60,0_55,280.86,4621.78,13.13
19.70,0_55,280.84,4620.48,13.05
19.80,0_55,280.82,4619.16,13.14
19.90,0_55,280.79,4617.85,13.12
20.00,0_55,280.77,4616.54,13.08
20.10,0_55,280.74,4615.23,13.13
20.20,0_55,280.72,4613.92,13.10
20.30,0_55,280.70,4612.61,13.09
20.40,0_55,280.67,4611.30,13.14
20.50,0_55,280.65,4609.99,13.11
20.60,0_55,280.62,4608.68,13.05
20.70,0_55,280.60,4607.37,13.14
20.80,0_55,280.58,4606.06,13.05
20.90,0_55,280.55,4604.76,13.06
21.00,0_55,280.53,4603.45,13.04
21.10,0_55,280.50,4602.14,13.15
21.20,0_55,280.48,4600.83,13.10
21.30,0_55,280.46,4599.51,13.14
21.40,0_55,280.43,4598.21,13.04
21.50,0_55,280.41,4596.90,13.09
21.60,0_55,280.38,4595.59,13.13
21.70,0_55,280.36,4594.28,13.11
21.80,0_55,280.34,4592.97,13.06
21.90,0_55,280.31,4591.66,13.16
22.00,0_55,280.29,4590.34,13.12
22.10,0_55,280.26,4589.03,13.15
22.20,0_55,280.24,4587.71,13.17
22.30,0_55,280.22,4586.40,13.16
22.40,0_55,280.19,4585.08,13.17
22.50,0_55,280.17,4583.77,13.11
22.60,0_55,280.14,4582.46,13.10
22.70,0_55,280.12,4581.15,13.10
22.80,0_55,280.09,4579.84,13.13
22.90,0_55,280.07,4578.53,13.05
23.00,0_55,280.05,4577.22,13.11
23.10,0_55,280.02,4575.91,13.10
23.20,0_55,280.00,4574.60,13.09
23.30,0_55,279.98,4573.29,13.10
23.40,0_55,279.95,4571.99,13.08
