time,vehicle_id,x,y,speed,lon,lat
10.0,0_55,299.89,4699.03,0.0,9.720193762019813,52.368027382236804
10.1,0_55,299.87,4699.02,0.25,9.720193582356758,52.36802732738683
10.2,0_55,299.83,4698.99,0.51,9.720193223030645,52.368027162836896
10.3,0_55,299.76,4698.95,0.76,9.720192594209944,52.368026943436966
10.4,0_55,299.68,4698.9,1.02,9.720191875557717,52.36802666918706
10.5,0_55,299.57,4698.83,1.26,9.720190887410904,52.36802628523719
10.6,0_55,299.44,4698.75,1.47,9.720189719601034,52.368025846437334
10.7,0_55,299.3,4698.66,1.7,9.720188461959639,52.36802535278749
10.8,0_55,299.13,4698.56,1.96,9.720186934823653,52.36802480428766
10.9,0_55,298.95,4698.44,2.18,9.720185317856142,52.368024146087855
11.0,0_55,298.74,4698.32,2.42,9.720183431394046,52.36802348788804
11.1,0_55,298.53,4698.18,2.55,9.72018154493195,52.36802271998823
11.2,0_55,298.3,4698.04,2.68,9.720179478806797,52.36802195208843
11.3,0_55,298.05,4697.89,2.89,9.720177233018587,52.3680211293386
11.4,0_55,297.8,4697.72,3.05,9.720174987230376,52.3680201968888
11.5,0_55,297.52,4697.55,3.21,9.720172471947581,52.36801926443897
11.6,0_55,297.23,4697.37,3.43,9.720169866833254,52.368018277139136
11.7,0_55,296.93,4697.18,3.6,9.720167171887404,52.36801723498929
11.8,0_55,296.6,4696.98,3.81,9.720164207446967,52.36801613798941
11.9,0_55,296.26,4696.77,4.03,9.720161153175,52.36801498613951
12.0,0_55,295.9,4696.54,4.24,9.720157919239977,52.368013724589595
12.1,0_55,295.52,4696.31,4.45,9.720154505641899,52.368012463039626
12.2,0_55,295.13,4696.06,4.69,9.720151002212289,52.36801109178963
12.3,0_55,294.71,4695.8,4.91,9.720147229288095,52.368009665689605
12.4,0_55,294.28,4695.53,5.09,9.720143366532374,52.368008184739516
12.5,0_55,293.83,4695.25,5.33,9.720139324113598,52.36800664893937
12.6,0_55,293.36,4694.96,5.46,9.72013510203176,52.368005058289164
12.7,0_55,292.89,4694.66,5.6,9.720130879949924,52.368003412788894
12.8,0_55,292.39,4694.35,5.85,9.720126388373505,52.36800171243854
12.9,0_55,291.88,4694.04,5.99,9.720121806965555,52.36800001208814
13.0,0_55,291.36,4693.71,6.21,9.72011713572608,52.36799820203762
13.1,0_55,290.81,4693.37,6.4,9.720112194992016,52.36799633713702
13.2,0_55,290.25,4693.02,6.63,9.720107164426425,52.367994417386306
13.3,0_55,289.67,4692.66,6.85,9.720101954197776,52.367992442785514
13.4,0_55,289.07,4692.28,7.04,9.720096564306074,52.367990358484555
13.5,0_55,288.67,4691.72,7.18,9.720092971044934,52.36798728688297
13.6,0_55,288.34,4691.05,7.44,9.720090006604499,52.36798361193081
13.7,0_55,288.01,4690.37,7.61,9.72008704216406,52.36797988212829
13.8,0_55,287.66,4689.66,7.83,9.720083898060565,52.367975987775324
13.9,0_55,287.31,4688.94,8.04,9.720080753957072,52.36797203857197
14.0,0_55,286.95,4688.2,8.22,9.720077520022047,52.36796797966816
14.1,0_55,286.58,4687.45,8.41,9.720074196255498,52.36796386591391
14.2,0_55,286.2,4686.68,8.57,9.720070782657416,52.367959642459134
14.3,0_55,285.82,4685.89,8.76,9.720067369059338,52.36795530930383
14.4,0_55,285.43,4685.08,8.97,9.72006386562973,52.367950866447956
14.5,0_55,285.03,4684.26,9.11,9.720060272368594,52.36794636874154
14.6,0_55,284.61,4683.42,9.36,9.7200564994444,52.36794176133451
14.7,0_55,284.2,4682.57,9.54,9.720052816351735,52.3679370990769
14.8,0_55,283.77,4681.69,9.78,9.720048953596013,52.36793227226849
14.9,0_55,283.33,4680.79,9.95,9.720045001008764,52.36792733575936
15.0,0_55,282.88,4679.88,10.21,9.720040958589983,52.36792234439956
15.1,0_55,282.42,4678.94,10.47,9.720036826339676,52.36791718848885
15.2,0_55,281.95,4677.98,10.62,9.720032604257842,52.36791192287728
15.3,0_55,281.87,4676.91,10.84,9.720031885605618,52.36790605391366
15.4,0_55,281.85,4675.81,11.06,9.720031705942558,52.367900020398835
15.5,0_55,281.83,4674.68,11.32,9.720031526279502,52.36789382233275
15.6,0_55,281.81,4673.53,11.46,9.720031346616445,52.367887514565496
15.7,0_55,281.79,4672.36,11.7,9.720031166953389,52.36788109709701
15.8,0_55,281.77,4671.17,11.89,9.72003098729033,52.367874569927245
15.9,0_55,281.75,4669.97,12.03,9.720030807627275,52.367867987906344
16.0,0_55,281.72,4668.75,12.2,9.720030538132688,52.36786129618409
16.1,0_55,281.7,4667.51,12.34,9.720030358469632,52.36785449476043
16.2,0_55,281.68,4666.25,12.59,9.720030178806576,52.36784758363532
16.3,0_55,281.65,4664.98,12.76,9.72002990931199,52.36784061765892
16.4,0_55,281.63,4663.69,12.92,9.720029729648934,52.36783354198097
16.5,0_55,281.61,4662.38,13.08,9.720029549985878,52.36782635660143
16.6,0_55,281.58,4661.07,13.15,9.720029280491291,52.36781917122073
16.7,0_55,281.56,4659.75,13.11,9.720029100828235,52.367811930988594
16.8,0_55,281.53,4658.44,13.17,9.720028831333648,52.36780474560555
16.9,0_55,281.51,4657.13,13.05,9.720028651670592,52.36779756022131
17.0,0_55,281.49,4655.82,13.13,9.720028472007535,52.36779037483593
17.1,0_55,281.46,4654.51,13.12,9.72002820251295,52.36778318944936
17.2,0_55,281.44,4653.2,13.08,9.720028022849892,52.36777600406163
17.3,0_55,281.41,4651.89,13.08,9.720027753355307,52.36776881867273
17.4,0_55,281.39,4650.58,13.14,9.72002757369225,52.36776163328267
17.5,0_55,281.37,4649.27,13.09,9.720027394029195,52.367754447891436
17.6,0_55,281.34,4647.96,13.15,9.72002712453461,52.36774726249902
17.7,0_55,281.32,4646.65,13.09,9.720026944871554,52.36774007710545
17.8,0_55,281.29,4645.34,13.06,9.720026675376968,52.36773289171071
17.9,0_55,281.27,4644.03,13.14,9.720026495713912,52.3677257063148
18.0,0_55,281.25,4642.72,13.08,9.720026316050854,52.36771852091773
18.1,0_55,281.22,4641.41,13.08,9.720026046556269,52.367711335519466
18.2,0_55,281.2,4640.11,13.05,9.720025866893211,52.36770420497044
18.3,0_55,281.17,4638.8,13.06,9.720025597398626,52.36769701956985
18.4,0_55,281.15,4637.5,13.04,9.720025417735568,52.367689889018514
18.5,0_55,281.13,4636.19,13.07,9.720025238072513,52.36768270361561
18.6,0_55,281.1,4634.89,13.05,9.720024968577928,52.367675573061945
18.7,0_55,281.08,4633.57,13.12,9.720024788914872,52.36766833280628
18.8,0_55,281.06,4632.26,13.15,9.720024609251814,52.36766114739987
18.9,0_55,281.03,4630.95,13.05,9.720024339757229,52.367653961992296
19.0,0_55,281.01,4629.64,13.15,9.720024160094171,52.36764677658355
19.1,0_55,280.98,4628.33,13.07,9.720023890599586,52.36763959117362
19.2,0_55,280.96,4627.03,13.06,9.720023710936529,52.36763246061301
19.3,0_55,280.94,4625.72,13.08,9.720023531273473,52.36762527520075
19.4,0_55,280.91,4624.41,13.11,9.720023261778886,52.36761808978735
